win,turret_plates,early_roam_kills,first_blood,first_tower,first_dragon,first_rift_herald,void_grubs,min15_kills,min15_deaths,min15_assists,min15_wards_placed,min15_wards_killed,min15_control_wards,min15_cs,min15_cs_diff,min15_xp_diff,history_wr_global,history_wr_champ,racha_previa,is_MMR_check,role_JUNGLE,role_MIDDLE,role_TOP,role_UTILITY,is_flex
1,0,0,1,1,1,1,3,3.0,1.0,5.0,3.0,1.0,3.0,87.0,-3.0,51.0,0.4765625,0.48148148148148145,-2,0,1,0,0,0,0
1,0,0,0,1,0,1,0,4.0,3.0,2.0,2.0,3.0,2.0,86.0,-4.0,-601.0,0.4806201550387597,0.5,1,0,1,0,0,0,0
1,5,0,0,1,1,1,2,1.0,1.0,3.0,2.0,3.0,2.0,92.0,1.0,-83.0,0.4846153846153846,0.5172413793103449,2,0,1,0,0,0,0
0,0,0,1,0,0,1,0,0.0,3.0,1.0,1.0,0.0,1.0,89.0,-5.0,-952.0,0.48854961832061067,0.5333333333333333,3,1,1,0,0,0,0
1,4,0,1,1,1,0,0,2.0,2.0,2.0,1.0,4.0,1.0,86.0,-13.0,-864.0,0.48484848484848486,0.5161290322580645,-1,0,1,0,0,0,0
1,4,0,0,1,1,1,0,2.0,1.0,4.0,3.0,3.0,3.0,81.0,-15.0,-713.0,0.48872180451127817,0.53125,1,0,1,0,0,0,0
1,1,0,0,1,1,1,3,4.0,2.0,0.0,5.0,1.0,1.0,85.0,-32.0,254.0,0.49295774647887325,0.6,2,0,0,0,0,0,0
0,0,0,0,1,1,0,3,4.0,3.0,1.0,4.0,1.0,0.0,95.0,-28.0,-596.0,0.47953216374269003,0.5,3,1,0,0,0,0,0
1,0,0,0,0,0,0,3,0.0,3.0,2.0,8.0,0.0,1.0,21.0,-5.0,-1123.0,0.48322147651006714,0.5,-1,0,0,0,0,1,0
1,0,0,1,1,0,1,3,0.0,2.0,7.0,11.0,1.0,3.0,21.0,-2.0,-885.0,0.48494983277591974,0.5161290322580645,1,0,0,0,0,1,0
0,0,0,0,0,1,0,0,3.0,1.0,6.0,7.0,3.0,2.0,21.0,2.0,-44.0,0.4866666666666667,0.53125,2,0,0,0,0,1,0
0,0,0,0,0,1,0,0,0.0,3.0,10.0,9.0,2.0,3.0,12.0,-6.0,157.0,0.4850498338870432,0.5151515151515151,-1,0,0,0,0,1,0
0,0,0,0,1,0,0,1,0.0,3.0,1.0,7.0,0.0,0.0,120.0,19.0,-4.0,0.48344370860927155,0.0,-2,0,0,0,1,0,0
1,0,0,0,1,1,1,0,2.0,2.0,3.0,8.0,2.0,0.0,27.0,1.0,277.0,0.48184818481848185,1.0,-3,0,0,0,0,1,0
0,0,0,0,0,1,0,3,1.0,2.0,2.0,8.0,2.0,0.0,23.0,-6.0,682.0,0.48355263157894735,1.0,1,0,0,0,0,1,0
0,0,0,0,1,0,0,3,1.0,1.0,2.0,10.0,0.0,2.0,16.0,-9.0,-247.0,0.4819672131147541,0.5,-1,0,0,0,0,1,0
0,0,0,0,0,0,0,3,2.0,7.0,3.0,5.0,1.0,1.0,8.0,-17.0,-2195.0,0.4803921568627451,0.6666666666666666,-2,0,0,0,0,1,0
1,1,0,0,1,1,1,0,2.0,1.0,2.0,9.0,5.0,1.0,26.0,13.0,305.0,0.4788273615635179,0.5,-3,0,0,0,0,1,0
1,5,0,1,1,1,1,3,6.0,2.0,3.0,7.0,5.0,1.0,39.0,21.0,1093.0,0.4805194805194805,1.0,1,0,0,0,0,1,0
1,0,0,1,0,0,1,3,4.0,6.0,4.0,8.0,1.0,2.0,11.0,-8.0,-553.0,0.48220064724919093,1.0,2,0,0,0,0,1,0
0,0,0,0,0,0,0,3,1.0,4.0,3.0,11.0,2.0,3.0,15.0,-8.0,-1357.0,0.4838709677419355,1.0,3,1,0,0,0,1,0
1,4,0,1,0,1,1,3,3.0,4.0,6.0,12.0,6.0,4.0,18.0,-6.0,-558.0,0.48231511254019294,0.75,-1,0,0,0,0,1,0
1,2,1,0,1,0,1,3,4.0,3.0,1.0,11.0,0.0,2.0,18.0,-5.0,-603.0,0.483974358974359,0.8,1,0,0,0,0,1,0
1,1,0,0,0,0,1,2,1.0,1.0,3.0,13.0,2.0,3.0,28.0,13.0,966.0,0.48562300319488816,0.8333333333333334,2,0,0,0,0,1,0
1,1,2,0,1,0,1,3,6.0,2.0,3.0,11.0,1.0,3.0,16.0,-3.0,1460.0,0.4872611464968153,0.8571428571428571,3,1,0,0,0,1,0
1,2,0,1,1,1,1,0,4.0,4.0,5.0,10.0,6.0,3.0,27.0,3.0,369.0,0.4888888888888889,0.875,4,0,0,0,0,1,0
0,0,1,1,1,0,0,0,3.0,3.0,3.0,13.0,2.0,2.0,19.0,3.0,-314.0,0.49050632911392406,0.8888888888888888,5,0,0,0,0,1,0
1,2,1,0,1,0,1,3,4.0,3.0,5.0,13.0,1.0,1.0,21.0,-16.0,-1938.0,0.4889589905362776,0.8,-1,0,0,0,0,1,0
1,2,0,1,1,1,0,2,0.0,1.0,8.0,8.0,2.0,3.0,18.0,-2.0,702.0,0.49056603773584906,0.4857142857142857,1,0,0,0,0,1,0
0,3,1,1,0,1,0,0,4.0,3.0,5.0,11.0,4.0,3.0,22.0,-7.0,15.0,0.49216300940438873,0.8181818181818182,2,0,0,0,0,1,0
1,0,1,0,1,1,1,3,3.0,5.0,5.0,12.0,0.0,3.0,15.0,-12.0,-475.0,0.490625,0.75,-1,0,0,0,0,1,0
0,1,0,0,1,1,1,0,0.0,2.0,7.0,12.0,2.0,2.0,11.0,1.0,377.0,0.49221183800623053,0.7692307692307693,1,0,0,0,0,1,0
0,0,1,0,0,0,0,0,2.0,2.0,1.0,9.0,5.0,1.0,22.0,-1.0,-1484.0,0.4906832298136646,0.7142857142857143,-1,0,0,0,0,1,0
1,0,0,1,1,1,1,0,1.0,2.0,7.0,13.0,8.0,3.0,22.0,11.0,-720.0,0.4891640866873065,0.6666666666666666,-2,0,0,0,0,1,0
0,1,0,0,1,0,0,3,3.0,5.0,6.0,13.0,1.0,2.0,18.0,-11.0,18.0,0.49074074074074076,0.6875,1,0,0,0,0,1,0
1,1,0,1,1,1,0,3,2.0,2.0,6.0,8.0,1.0,2.0,18.0,-1.0,-10.0,0.48923076923076925,0.6470588235294118,-1,0,0,0,0,1,0
0,1,0,1,0,0,0,0,2.0,4.0,3.0,10.0,3.0,1.0,23.0,10.0,732.0,0.49079754601226994,0.6666666666666666,1,0,0,0,0,1,0
0,0,0,1,1,0,1,3,3.0,3.0,4.0,13.0,3.0,3.0,15.0,1.0,164.0,0.4892966360856269,0.631578947368421,-1,0,0,0,0,1,0
